1712000,Nguyễn Văn Ân,Công nghệ thông tin,nva@gmail.com,2017,20/01/1999,Images/1712000.jpg ,"Tôi là người lạnh lùng, đẹp trai","Âm nhạc: Kpop, Vpop, Rap","Điện ảnh: Harry Potter, Gia đình phép thuật",Ca sĩ yêu thích: Sơn Tùng,"Thể thao: đá bóng, bóng rổ","Tụ tập với bạn bè tán gẫu, tâm sự"
1712001,Trần Thị Bé,Công nghệ thông tin,ttb@gmail.com,2017,21/01/1999,Images/1712001.jpg,"Tôi là người thân thiện, cởi mở","Tài năng: Ảo thuật, múa lửa",Ca sĩ yêu thích: Sơn Tùng,,,
1712002,Lê Văn Cường,Toán - Tin học,lvc@gmail.com,2017,15/06/1999,Images/1712002.jpg,"Tôi là người nói nhiều, không được nói thì rất khó chịu","Âm nhạc: nhạc vàng, nhạc xưa",Ca sĩ yêu thích: Mỹ Tâm,,,
1712003,Ngô Đình Diệm,Vật lý - Kỹ thuật vật lí,ndd@gmail.com,2017,14/05/1999,Images/1712003.jpg,Tôi là người béo phì,"Âm nhạc: Pop, Rock","Ẩm thực: bánh xèo, bún thịt nướng",Ca sĩ yêu thích: Mỹ Tâm,Đánh cờ tướng,
1712004,Hoàng Thị Ế,Khoa học môi trường,hte@gmail.com,2017,20/12/1999,Images/1712004.jpg,Tôi là người có cơ bắp,,,,,
1712005,Nguyễn Hoàng Fuu,Kỹ thuật hạt nhân,nhf@gmail.com,2017,03/04/1999,Images/1712005.jpg,"Tôi là người bị chột, mặt có sẹo",Âm nhạc: Blues,,,,
1712006,Ngô Nguyễn Giang,Công nghệ thông tin,nng@gmail.com,2017,06/06/1999,Images/1712006.jpg,Tôi là người cận thị,"Ẩm thực: cơm tấm, cháo gà",Ca sĩ yêu thích: Mỹ Tâm,,,
1712007,Nguyễn Thị Lộc,Khoa học vật liệu,ntl@gmail.com,2017,04/04/1999,Images/1712007.jpg,"Tôi là người khó chịu, luôn tìm kiếm sự hoàn hảo",Ẩm thực: mì tôm,,,,
1712008,Trần Văn Mạnh,Công nghệ thông tin,tvm@gmail.com,2017,07/10/1999,Images/1712008.jpg,Tôi là người yêu động vật,Âm nhạc: R&B/Soul,"Thể thao: bóng chuyền, cầu lông",,,
1712009,Âu Dương Phong,Công nghệ sinh học,adp@gmail.com,2017,08/07/1999,Images/1712009.jpg,Tôi là người thích ăn chay,"Âm nhạc:  Dance, EDM,  Electronic","Thể thao: bóng đá, bóng rổ",,,
